"pitcher1","pitcher2","similarity"
"German Marquez","Bartolo Colon",1.99052020250934
"Lance McCullers","Bartolo Colon",2.11875794249125
"Jose Berrios","Bartolo Colon",1.7706274523334
"Luis Castillo","Bartolo Colon",1.47455658078792
"Antonio Senzatela","Bartolo Colon",1.83270646197802
"Luis Severino","Bartolo Colon",1.97873104487502
"Kenta Maeda","Bartolo Colon",1.65544291533776
"Chad Kuhl","Bartolo Colon",1.59215583840454
"Zack Godley","Bartolo Colon",1.73507440746785
"Austin Pruitt","Bartolo Colon",1.66885993844304
"Jeff Hoffman","Bartolo Colon",2.05450241356006
"Dinelson Lamet","Bartolo Colon",1.8273982864669
"Jesse Hahn","Bartolo Colon",1.77067848404719
"Zach Davies","Bartolo Colon",1.11851592427334
"Scott Feldman","Bartolo Colon",1.78212548602367
"Mike Leake","Bartolo Colon",1.20646507340166
"Trevor Cahill","Bartolo Colon",1.47883936151334
"Kendall Graveman","Bartolo Colon",1.1288016151206
"Jake Arrieta","Bartolo Colon",1.39269139406669
"Joe Ross","Bartolo Colon",1.07189025592827
"Mike Pelfrey","Bartolo Colon",1.29342349179568
"Bartolo Colon","Bronson Arroyo",2.02653335260536
"Bronson Arroyo","Bronson Arroyo",0
"R. A. Dickey","Bronson Arroyo",1.62166343469233
"John Lackey","Bronson Arroyo",1.76633679438709
"Adam Wainwright","Bronson Arroyo",1.82173532492935
"Zack Greinke","Bronson Arroyo",1.88635431250889
"Ervin Santana","Bronson Arroyo",2.17317957864151
"Matt Cain","Bronson Arroyo",1.5799884500944
"Felix Hernandez","Bronson Arroyo",1.90350981009807
"Yusmeiro Petit","Bronson Arroyo",1.61274370586012
"Justin Verlander","Bronson Arroyo",2.64343442240898
"Ubaldo Jimenez","Bronson Arroyo",1.92658806690051
"Jason Hammel","Bronson Arroyo",2.10803657042594
"Anibal Sanchez","Bronson Arroyo",1.79821519025657
"Brandon McCarthy","Bronson Arroyo",2.29722879025284
